gene	value	status
b4077	0.9219480951	optimal
b4079	0.9219480951	optimal
b4090	0.9219480951	optimal
b4111	0.9219480951	optimal
b4117	0.9219480951	optimal
b4119	0.9219480951	optimal
b4120	0.9219480951	optimal
b4122	0.9219480951	optimal
b4123	0.9219480951	optimal
b4131	0.9219480951	optimal
b4132	0.9219480951	optimal
b4138	0.9219480951	optimal
b4139	0.9219480951	optimal
b4151	0.9219480951	optimal
b4152	0.9219480951	optimal
b4153	0.9219480951	optimal
b4154	0.9219480951	optimal
b4160	0.0	optimal
b4177	0.0	optimal
b4196	0.9219480951	optimal
b4197	0.9219480951	optimal
b4198	0.9219480951	optimal
b4208	0.9219480951	optimal
b4226	0.0	optimal
b4227	0.9219480951	optimal
b4228	0.9219480951	optimal
b4229	0.9219480951	optimal
b4230	0.9219480951	optimal
b4231	0.9219480951	optimal
b4232	0.9219480951	optimal
b4238	0.9219480951	optimal
b4239	0.9219480951	optimal
b4240	0.9219480951	optimal
b4244	0.0	optimal
b4245	0.0	optimal
b4254	0.9219480951	optimal
b4265	0.9219480951	optimal
b4266	0.9219480951	optimal
b4267	0.9219480951	optimal
b4268	0.9219480951	optimal
b4301	0.9219480951	optimal
b4321	0.9219480951	optimal
b4322	0.9219480951	optimal
b4323	0.9219480951	optimal
b4381	0.9207381055	optimal
b4382	0.9219480951	optimal
b4383	0.9207381055	optimal
b4384	0.9219480951	optimal
b4388	0.0	optimal
b4395	0.9219480951	optimal
b4407	0.9219480951	optimal
